Hospital_Name,Hospital_Type,Hospital_Category,State,District,Pincode,Specialties,Facilities,Address_Original_First_Line,Telephone
Sunshine Heart Institute,Private,Private,Telangana,Hyderabad,500003,"Anesthesiology,\n Cardiac Anesthesia,\n Cardiology,\n Interventional Cardiology,\n Pediatric, Cardiothoracic, Surgery",,"Penderghast Road, Opposite Parsi Dharamsala, Behind Paradise Hotel, Secunderabad",0
"CGHS Dispensary No.I, Charmina",Government,Public/ Government,Telangana,Hyderabad,0,0,0,"23-1-693/1/1, Moghulpura",0
"CGHS Dispensary No.II, Humayunagar",Government,Public/ Government,Telangana,Hyderabad,0,0,0,"10-3-273/10, Humayunnaga",0
"CGHS Dispensary No.III,\nSecunderabad",Government,Public/ Government,Telangana,Hyderabad,0,0,0,"6-1-103/5, Padmaraonagar,\nSecundarabad",0
"CGHS Dispensary No.IV,\nBegumpet",Government,Public/ Government,Telangana,Hyderabad,0,0,0,"K.S.Bhawan, Begumpet",0
"CGHS Dispensary No.V,\nHumayatnagar",Government,Public/ Government,Telangana,Hyderabad,0,0,0,"Oilseeds Qtrs., Himayatnagar",0
"CGHS Dispensary No.VI,\nKachiguda",Government,Public/ Government,Telangana,Hyderabad,0,0,0,"Kendriya Sadan, Sultanbazar",0
"CGHS Dispensary No.VII,\nMalakpet",Government,Public/ Government,Telangana,Hyderabad,0,0,0,"16-3-994/A/1, Chanchalguda",0
"CGHS Dispensary No.VII,\nKanchanbagh",Government,Public/ Government,Telangana,Hyderabad,0,0,0,"DRDO Complex, Kanchanbagh",0
"CGHS Dispensary No.IX,\nAlwal, Secunderabad",Government,Public/ Government,Telangana,Hyderabad,0,0,0,"8-88 and 89, Alwal, Senderabad",0
"CGHS Dispensary No.X,\nAmeerpet",Government,Public/ Government,Telangana,Hyderabad,0,0,0,AGS Staff Qtrs.Yousufguda,0
"CGHS Dispensary No.XI,\nKakatiyanagar",Government,Public/ Government,Telangana,Hyderabad,0,0,0,"9-4-84/20, Kakatiyanagar",0
"CGHS Dispensary No.XII,\nDilsuknagar",Government,Public/ Government,Telangana,Hyderabad,0,0,0,"7/2A, Balaji Complex, Dilsuknagar",0
"CGHS Dispensary No.XII,\nTamaka",Government,Public/ Government,Telangana,Hyderabad,0,0,0,"St.No.5, Tarnaka",0
"PC-I, KS Bhawan",Government,Public/ Government,Telangana,Hyderabad,0,0,0,"KS Bhavan, Begumpet",0
"PC-II, AGS Office Bldg.",Government,Public/ Government,Telangana,Hyderabad,0,0,0,AGS Office Building,0
PC Hyderabad,Government,Public/ Government,Telangana,Hyderabad,0,0,0,CE Building,0
"Rainbow Hospital for Women and Children, Banjara Hills",Private,Private,Telangana,Hyderabad,500034,"General Pediatrics, Neonatology, Pediatric Neurology, Pediatric Intensive Care Unit, Pediatric Surgery, Anasthesia and Pain Management, Pediatric Gastroenterology, Pediatric Nephrology, Hematology and Oncology, ENT, Psychiatry, Pediatric Cardiology, Speech and Language Therapy, Physiotherapy and Rehabilitation Unit etc",0,"22, Road Number 4, Old Road Number 10, Karvy Lanes, Banjara Hills",0
"Rainbow Hospital for Women and Children, Secunderabad",Private,Private,Telangana,Hyderabad,0,"General Pediatrics, Neonatology, Pediatric Neurology, Pediatric Intensive Care Unit, Pediatric Surgery, Anasthesia and Pain Management, Pediatric Gastroenterology, Pediatric Nephrology, Hematology and Oncology, ENT, Psychiatry, Pediatric Cardiology, Speech and Language Therapy, Physiotherapy and Rehabilitation Unit etc",0,"Plot C 17, Vikrampuri Colony, Secunderabad",0
Rainbow Childrens Hospital,Private,Private,Telangana,Hyderabad,500072,"General Pediatrics, Neonatology, Pediatric Neurology, Pediatric Intensive Care Unit, Pediatric Surgery, Anasthesia and Pain Management, Pediatric Gastroenterology, Pediatric Nephrology, Hematology and Oncology, ENT, Psychiatry, Pediatric Cardiology, Speech and Language Therapy, Physiotherapy and Rehabilitation Unit etc",0,"Opposite Chermas, Hydernagar",0
Yashoda Super Speciality Hospital,Private,Private,Telangana,Hyderabad,500036,"Heart, Brain and Nerves, Cancer, Bones and Joints, Gastro, Renal, Spine, General Medicine, Emergency Services and Trauma Care, Plastic and Reconstructive Surgery, Rheumatology, Pulmonary, Vascular Surgery, Endocrinology, Gynaecology, Paediatrics, ENT, Opthalmology, Dermatology, Pain Management, Clinical Psychology, Dietetics, Dentistry, Physiotherapy, Radiology, Critical Care, Home Health Care","Surgical Suites, Trauma Center, Intensive Care Units, Surgical Observation Unit, Rehabilitation Services Department","Nalgonda X Roads, Malakpet",0
Yashoda Super Speciality Hospital,Private,Private,Telangana,Hyderabad,500003,"Heart, Brain and Nerves, Cancer, Bones and Joints, Gastro, Renal, Spine, General Medicine, Emergency Services and Trauma Care, Plastic and Reconstructive Surgery, Rheumatology, Pulmonary, Vascular Surgery, Endocrinology, Gynaecology, Paediatrics, ENT, Opthalmology, Dermatology, Pain Management, Clinical Psychology, Dietetics, Dentistry, Physiotherapy, Radiology, Critical Care, Home Health Care","Surgical Suites, Trauma Center, Intensive Care Units, Surgical Observation Unit, Rehabilitation Services Department",Alexander Road,0
Omega Hospital,Private,Private,Telangana,Hyderabad,500034,"Cancer Subspecialities, General Health Institute, Womens Wellcare Institute, ENT Institute, Orthopaedic Outreach Institute, Omega Cosmetic Surgery Center",0,"MLA Colony Main Raod, Road Number 12, Banjara Hills",0
"Prime Hospital, Ameerpet",Private,Private,Telangana,Hyderabad,500038,"Anesthisiology, Cardiology, Critical Care, Obstetrics, Internal Medicine, Neuro Surgery, Orthopedics, Paediatrics, Radiology, Urology, Gastroenterology, General Surgery, Plastic Surgery, Nephrology, Gynaecology and Obstetrics, Metabolic Surgery, Advanced Laparoscopy, Bariatric Surgery, ENT\n","Consultative, Diagnostic and Surgical Services","Plot Number 4, Behind Mythrivanam Building, Besides Blue Fox Hotel",0
"Prime Hospital, Kukatpally",Private,Private,Telangana,Hyderabad,500072,"Anesthisiology, Cardiology, Critical Care, Obstetrics, Internal Medicine, Neuro Surgery, Orthopedics, Paediatrics, Radiology, Urology, Gastroenterology, General Surgery, Plastic Surgery, Nephrology, Gynaecology and Obstetrics, Metabolic Surgery, Advanced Laparoscopy, Bariatric Surgery, ENT\n","Consultative, Diagnostic and Surgical Services","MIG 113 and 114, Road Number 1, KPHB Colony",0
Usha Mullapudi Cardiac Centre,Private,Private,Telangana,Hyderabad,0,0,0,Usha Mullapudi Cardiac Centre,0
"Lotus Children's Hospital, Lakdikapul",Private,Private,Telangana,Hyderabad,500004,"Children's Intensive Care Unit, Pediatric Intensive Care Unit, Premature Baby and  Newborn Intensive Care Unit, Neonatal Intensive Care Unit, Neonatology Service, Childrens Heart Specialists, Pediatric Cardiology, Childrens Heart Surgery, Pediatric Cardiac Surgery, Childrens Brain and Nervous System Surgery, Pediatric NeuroSurgery, Pediatric Neuro Rehabilitation, Physiotherapy, Childrens Gastroenterology, Pediatric Gastroenterology, Pediatric Endocrinology, Pediatric Hematology and Oncology, Ear, Nose and Throat Surgery, Ophthalmology etc","X Ray, CT Scan and Ultrasound, Radiology and Imaging Services",D.Number 6-2-29\n,0
"Lotus Children's Hospital, Kukatpally",Private,Private,Telangana,Hyderabad,500071,"Children's Intensive Care Unit, Pediatric Intensive Care Unit, Premature Baby and  Newborn Intensive Care Unit, Neonatal Intensive Care Unit, Neonatology Service, Childrens Heart Specialists, Pediatric Cardiology, Childrens Heart Surgery, Pediatric Cardiac Surgery, Childrens Brain and Nervous System Surgery, Pediatric NeuroSurgery, Pediatric Neuro Rehabilitation, Physiotherapy, Childrens Gastroenterology, Pediatric Gastroenterology, Pediatric Endocrinology, Pediatric Hematology and Oncology, Ear, Nose and Throat Surgery, Ophthalmology etc","X Ray, CT Scan and Ultrasound, Radiology and Imaging Services","HIG Number 15, JNTU, Hi tech City Road, KPHB",0
Omni Hospital,Private,Private,Telangana,Hyderabad,500034,"Anesthesiology, Cardiology, Diabetology, Dermatology, ENT-Head and Neck Surgery, General (Internal) Medicine, General and Laparoscopic Surgery, Gynaecology and Obstetrics, Gastroenterology and Hematology, Neonatology and Paediatrics, Neurology and Neuro Surgery, Nephrology and Dialysis, Nutrition and Dietetics, Orthopaedics and Joints Replacement Surgery, Plastic and Cosmetic Surgery, Paediatric Surgery, Pulmonology, Rheumatology, Urology, 24 hours Trauma and Critical Care","Intensive Care Unit (ICU), Acute Medical Care unit (AMC), Neonatal Intensive Care Unit (NICU), Pediatric Intensive Care Unit (PICU), Post Operative Ward (P.O.W), Suite Rooms, Deluxe Rooms, A/C and Non A/C Cubicle, General Ward for Male and Female","4th Floor, Anushka Pride, Opposite Ratnadeep Supermarket, Road Number 12, Banjara Hills",0
Udai Omni Hospital,Private,Private,Telangana,Hyderabad,500001,"Hand and Elbow Surgery, Knee Replacement, Foot and Ankle Surgery, Spondilytis, Spine Surger, Hip Fractures and Replacement, Paediatric Orthopedic, Plastic and Reconstructive Surgery, Physiotherapy, Sports Medicine",0,"5-9-94, Chapel Road",0
Omni Hospital,Private,Private,Telangana,Hyderabad,500060,"Anesthesiology, Cardiology, Diabetology, Dermatology, ENT-Head and Neck Surgery, General (Internal) Medicine, General and Laparoscopic Surgery, Gynaecology and Obstetrics, Gastroenterology and Hematology, Neonatology and Paediatrics, Neurology and Neuro Surgery, Nephrology and Dialysis, Nutrition and Dietetics, Orthopaedics and Joints Replacement Surgery, Plastic and Cosmetic Surgery, Paediatric Surgery, Pulmonology, Rheumatology, Urology, 24 hrs Trauma and Critical Care",0,"11-9-46, Sri Sai Shivani Complex, Opposite P.V.T Market, Kothapet 'X' Road, New Nagole Main Road, Dilsukhnagar, Laxmi Nagar Colony, Kothapet",0
Continental Hospital Limited,Private,Private,Telangana,Hyderabad,500035,"Heart Centre, Continental Institute of Gastroenterology and Liver Diseases, Continental Cancer Institute and Radiation Centre, Continental Institute of Neurosciences and Rehabilitation, Continental Institute of Orthopedics, Spine and Joint Reconstruction, Continental Womens Centre, Department of Emergency, Trauma Services and Critical Care Medicine","Surgical Specialities and Operation Theatres, ICU, ATM, WIFI, Business Centre","Plot Number 3, Road Number 2, I.T and Financial Dist, Nanakramguda, Gachibowli",0
"Aditya Hospital, ABIDS",Private,Private,Telangana,Hyderabad,500001,"Cardiology, Nephrology, Orthopaedics, Internal Medicine, Critical Care, Radiology, General Medicine, Gastroenterology, Endocrinalogy, Dermatology, Pulmonology, Pediatrics","Clinical Services, Diagnostic Services, Laboratory Services and Transfusion Services, Pharmacy, Ambulance Services, Dietetics, Physiotherapy, Laboratory Service\n","4-1-16, Boggulakunta, Tilak Road, Abids",0
"Aditya Hospital, Uppal",Private,Private,Telangana,Hyderabad,500039,"Cardiology, Nephrology, Orthopaedics, Internal Medicine, Critical Care, Radiology, General Medicine, Gastroenterology, Endocrinalogy, Dermatology, Pulmonology, Pediatrics","Clinical Services, Diagnostic Services, Laboratory Services and Transfusion Services, Pharmacy, Ambulance Services, Dietetics, Physiotherapy, Laboratory Service\n","Survey Number 93/2 and 125, Opposite Bharath Petrol Pump, Warangal Highway Mainroad, Shanthi Nagar, Uppal",0
Sai Vani Super Specialty Hospital,Private,Private,Telangana,Hyderabad,500029,0,0,"1-2-365/36/6 and 7, Opposite Indira Park, Ramakrishna Math Road, Domalguda",0
Asian Institute of Nephrology and Urology,Private,Private,Telangana,Hyderabad,500082,All Kidney Related Diseases,"Tertiary Care Unit, Operating Wards, State-of-the-art Equipment, ICU, Day Care Ward and Comprehensive Diagnostics Support Facilities","Shop Number 6-3-562/A, Behind MORE Megastore, Erram Manzil Colony, Somajiguda",0
Sai Sanjeevini Hospital,Private,Private,Telangana,Hyderabad,500035,"Accident Trauma Emergency, Anesthesiology, Arthroscopy, Cardiology, Critical Care, Dermatology, Diabetology, Endocrinology, ENT, Gastroenterology, General and  Laparoscopic Surgery, General Medicine, Maxillofacial Surgery, Nephrology and Dialysis, Neurology, NeuroSurgery, Orthopedics, Plastic Surgery, Pulmonology, Clinical Pshycology, Radiology, Urology","Information Desk, OPD Counter, 24/7 Laboratory, Spiral CT Scan, Diagnostic Services, Radiology, Laboratory Services and Transfusion Services, Physiotherapy, Dietery, Housekeeping, Pharmacy","Plot Number V7, NH9, Narsimhapuri Colony, Kothapet, Saroornagar",0
Olive Hospital,Private,Private,Telangana,Hyderabad,0,"Bariatric Surgery, Cardiology, Dental Surgery, Dermatology, Diabetology, Endocrinology, General  Internal Medicine, General Surgery, Medical Gastroenterology, Neonatology and Paediatrics, Neurology and Neuro Surgery, Obstetrics and Gynaecology, Orthopedics, Pediatric Surgery, Physiotherapy, Plastic Surgery and Cosmetic Surgery, Psychiatry, Pulmonology, Rheumatology, Surgical Gastroenterology","Onsite Pharmacy, Dietitian Designed Catering, Modern Delivery Room and Birthing Suites, Physiotherapy, Blood Transfusion Services, Patient Escort Services","12-2-718/3, 4, 5, Nanalnagar 'X' Road",0
"Ankura Hospital for Children and Women, Kukatpally",Private,Private,Telangana,Hyderabad,500072,"Neonatology, Pediatric Critical Care, Paediatric Emergency, Paediatric Surgery, Pediatric Dentistry, Paediatric Neurology, Paediatric Cardiology, Paediatric Endocrinology, Obstetrics and Gynecology, Opthomology, Radiology, Pathology and Microbiology, Endocrinology, Physiotherapy, Psychiatry, Dermatology, Dental Health, Diet and Nutrition","Pediatric Facilities, Obstetrics and Gynaecology Services, 24 Hour Laboratory Service, Pharmacy, Emergency Ambulance Service with Transport Ventilator and Incubator, In House Canteen Services","JNTU Hitech City Road, 7th Phase, KPHB Colony, Near Hitech City Railway Station",0
"Ankura Hospital for Children and Women, Secunderabad",Private,Private,Telangana,Hyderabad,0,"Neonatology, Pediatric Critical Care, Paediatric Emergency, Paediatric Surgery, Pediatric Dentistry, Paediatric Neurology, Paediatric Cardiology, Paediatric Endocrinology, Obstetrics and Gynecology, Opthomology, Radiology, Pathology and Microbiology, Endocrinology, Physiotherapy, Psychiatry, Dermatology, Dental Health, Diet and Nutrition","Pediatric Facilities, Obstetrics and Gynaecology Services, 24 Hour Laboratory Service, Pharmacy, Emergency Ambulance Service with Transport Ventilator and Incubator, In House Canteen Services","Near Yatri Nivas, SP Road, Opposite Metro Pillar Number 23, Beside Dominos Pizza, Begumpet",0
"Ankura Children's Hospital, A.S.Rao Nagar",Private,Private,Telangana,Hyderabad,0,"Neonatology, Pediatric Critical Care, Paediatric Emergency, Paediatric Surgery, Pediatric Dentistry, Paediatric Neurology, Paediatric Cardiology, Paediatric Endocrinology",0,"Beside ICICI Bank, Sainikpuri, A.S.Rao Nagar",0
"Ankura Hospital, Boduppal",Private,Private,Telangana,Hyderabad,0,0,0,"Beside ICICI Bank, Main Road, Peerzadiguda, Boduppal",0
Anupama Hospital,Private,Private,Telangana,Hyderabad,500072,"Dermatology, ENT, General Medice, Gynaecology and Obstetrics, Nephrology, Neuro Surgery, Plastic Surgery, Pediatric, Physiotherapy","ICU Facilities, 24/7 Pharmacy, Ambulance, Radiology and Imaging, Laboratories Services","6th Phase, JNTU Road Kukatpally",0
Apollo DRDO Hospital,Private,Private,Telangana,Hyderabad,500258,0,0,"Santosh Nagar, Kanchanbagh",0
Apollo Hospital,Private,Private,Telangana,Hyderabad,500003,0,0,"Pollicetty Towers, St.John's Road, Bhagyanagar Colony, Besides Keyes High School, Secunderabad",0
Apollo Hospital,Private,Private,Telangana,Hyderabad,500033,0,0,Jubilee Hills,0
Apollo Emergency Centre,Private,Private,Telangana,Hyderabad,500036,0,0,"16-2-705/5/5, Opposite Santhi Fire Works, Malakpet",0
Apoorva Hospital,Private,Private,Telangana,Hyderabad,500028,0,"Lounge, Reception, PICU, State of Art Equipments, 24 hours Pediatric Emergencies, Surgical Facilities","2nd Right Turn From St.Anns Womens College, Near Park, 46/A, Santosh Nagar Colony, Mehdipatnam",0
Asha Hospital,Private,Private,Telangana,Hyderabad,0,"Asha Alcohol and Drug De Addiction Centre, Asha Schizophrenia Clinic, Asha Jyoti Rehabilitation Centre (AJRC)","In-Patient Admission Facility, Alcohol and Drug Detoxification, Electro Convulsive Therapy(ECT), Repetitive Transcranial Magnetic Stimulation, Repetitive Transcranial Magnetic Stimulation, Psychotherapy, Child and Adolescent Behavioral Issues, Pharmacy Services","Plot Number 298, Road Number 14, Banjara Hills",0
"Global Hospital, L.B.Nagar",Private,Private,Telangana,Hyderabad,500035,"Anaesthesiology, Arthroscopy and Sports Medicine, Bariatric Surgery, Cardiology, Cardiothoracic and Vascular Surgery, Critical Care, Dentistry, Dermatology, Diabetology, Emergency Medicine and Trauma, ENT, General Medicine, Gynecology, Interventional Radiology, Kidney Transplantation, Laboratory Medicine, Maxillofacial Surgery, Medical Gastroenterology, Medical Oncology, Minimal Invasive Surgery, Nephrology, Neurology, NeuroSurgery, Obstetrics, Orthopaedics and Joint Replacement, Paediatric Surgery, Paediatrics, Plastic Surgery, Psychiatry, Pulmonology",0,"Sagar Road, LB Nagar",0
Basavatarakam Indo American Cancer Hospital and Research Institute,Private,Private,Telangana,Hyderabad,500034,"Surgical Oncology, Medical Oncology, Bone Marrow Transplantation, Radiation Oncology, Anaesthesiology, Laboratory Medicine, Radiology, Nuclear Medicine",0,"Road Number 10, Banjara Hills",0
Bristlecone Hospital,Private,Private,Telangana,Hyderabad,500027,"Neurology, Urology and Nephrology, Obstetrics and Gynecology, Endoscopy, Pediatrics and Neo Natology, Orthopedics, Plastic Surgery, General Surgery, Trauma, Endocrine, Skin and Aesthetics, ENT, Diagnostics",0,"Street Number 6, Barkatpura",0
Candy Children's Hospital,Private,Private,Telangana,Hyderabad,0,"Pediatrics, Neonatology, Nephrology, Pulmonology, Neuro Surgery, Plastic Surgery, Radiology, Orthopaedics, ENT, Dermatology",0,"8-1-351/8 Tolichowki, Shaikpet Road, Opposite Reliance Mart",0
Care Hospital,Private,Private,Telangana,Hyderabad,500001,"Anesthesiology, Cardiac Sciences, Critical Care, Dentistry, Dermatology, Dietetics and Nutrition, Emergency Medicine, ENT, Gastroenterology, General Medicine, General Surgery and Surgical Gastroenterology, Laboratory Medicine, Nephrology, Neuro Sciences, Obstetrics and Gynecology, Orthopedics, Physiotherapy and Rehabilitation, Plastic Surgery, Psychiatry, Pulmonology, Radiology, Rheumatology, Urology",0,Exhibition Grounds Road,0
Guru Nanak Care Hospital,Private,Private,Telangana,Hyderabad,500020,"Anesthesiology, Cardiac Sciences, Critical Care, Dentistry, Dermatology, Dietetics and Nutrition, Emergency Medicine, ENT, Gastroenterology, General Medicine, General Surgery and Surgical Gastroenterology, Laboratory Medicine, Nephrology, Neuro Sciences, Obstetrics and Gynecology, Orthopedics, Physiotherapy and Rehabilitation, Plastic Surgery, Psychiatry, Pulmonology, Radiology, Rheumatology, Urology",0,"1-4-908/7/1, Musheerabad\n",0
Challa Eye Care Centre,Private,Private,Telangana,Hyderabad,500034,"Cataract Surgery, Bladeless LASIK Surgery, ICL, Contact Lenses, Glaucoma Eye Specialist, Oculoplasty Services, Squints Surgery, Pterygium Surgery, Opticals",0,"Lane Beside Harley Davidson Showroom, Sagar Soceity Main Road, Road Number 2, Banjara Hills",0
Challa Hospital,Private,Private,Telangana,Hyderabad,500016,"Urology, Neurology, ENT, Gastroenterology, Nephrology, Andrology, Plastic Surgery, Cardiology, Arthroscopy, General Surgery, Gynaecology, Speech and Hearing Services, General Medicine, Orthopaedics, Andrology, Pulmonology, Gynaecology and Obstetrics, Paediatrics, Surgical Gastroenterology, Joint Replacement","Multi Speciality OPD, Five Major Operation Theatres, Septic Operation Theatre, Post-Op Ward, Neonatal ICU, Critical Care Unit, Critical Care Unit, Psychological Consultation","7-1-71/A/1, Dharam Karam Road, Ameerpet",0
Clear Vision Eye Hospital,Private,Private,Telangana,Hyderabad,500029,"Comprehensive Eye Check-up, Cataract Clinic, Lasik and Laser Clinic, Blade Free Lasik Surgery, Cornea Clinic, Glaucoma Clinic, Retinal Clinic, Pediatric Ophthalmology, Squint Clinic, Oculoplasty Clinic, Opticals and Contact Lens","Operation Theate, Medical and Diagnostic Services, Pharmacy, Ambulance","3-6-272, NVK Towers, Near Old MLA Quarters, Opposite Telugu Academy, Himayathnagar",0
Disha Children's Hospital,Private,Private,Telangana,Hyderabad,500074,0,0,"3-11-142/N, DVN Complex, Opposite to Kamineni Hospital, RTC Colony, LB Nagar",0
Dr.Agarwal's Eye Hospital,Private,Private,Telangana,Hyderabad,500060,"Cataract Surgery, Cornea and Refractive, Retina, Oculoplastic, Glaucoma, Uvea, Neuro Ophthamology, Squint and Pediatric Opthalmology, Lasik",0,"S.S.Towers, Number 18-92/C, D, E Chaitanyapuri, X Roads, Dilsukhnagar",0
Dr.Agarwal's Eye Hospital,Private,Private,Telangana,Hyderabad,500082,"Cataract Surgery, Cornea and Refractive, Retina, Oculoplastic, Glaucoma, Uvea, Neuro Ophthamology, Squint and Pediatric Opthalmology, Lasik",0,"Datla Pride, Punjagutta Officers Colony, Punjagutta",0
Dr.Agarwal's Eye Hospital,Private,Private,Telangana,Hyderabad,500059,"Cataract Surgery, Cornea and Refractive, Retina, Oculoplastic, Glaucoma, Uvea, Neuro Ophthamology, Squint and Pediatric Opthalmology, Lasik",0,"Hanuman Towers, Number 9-7-214/1, 215, 217, Maruthi Nagar, Santhosh Nagar Main Road",0
Dr.Agarwal's Eye Hospital,Private,Private,Telangana,Hyderabad,0,"Cataract Surgery, Cornea and Refractive, Retina, Oculoplastic, Glaucoma, Uvea, Neuro Ophthamology, Squint and Pediatric Opthalmology, Lasik",0,"No 16-2-669/C, Shop No 1-4, Lakshmi Appartments, Malakpet",0
Dr.Akbar Eye Hospital,Private,Private,Telangana,Hyderabad,500028,"Primary Eye Care, LASIK Services, Cataract Services, Cornea and Refractive Surgery Services, Glaucoma Services, Retina and Diabetic Retinopathy, Retina and Hypertensive Retinopathy, Contact Lens Services, Pediatric Service","Ocular Photography, Ultrasound and Intraocular Lens Calculation, Specialized Ophthalmic Testing, Non Contact Tonometry","12-2-831/87, Sai Suchi Towers, Opposite Syndicate Bank, Mehdipatnam",0
Dr.Ramayya's Urology Nephrology Institute and Hospital Private Limited,Private,Private,Telangana,Hyderabad,500063,"LASER Treatment for Prostate, LASER Treatment for Stone, Lithotripsy, RIRS with Laser, Mini and Micro PCNL with LASER, Uro-Dynamics, Neuro Urology, Laparoscopic Urology, Female Urology, Reconstructive Urology, Pediatric Urology, Uro-Oncology, Male infertility, Andrology, Impotence\n",0,"5-9-34/2, Basheer Bagh",0
Dr.Rao's ENT Super Speciality Hospital,Private,Private,Telangana,Hyderabad,5000082,"Laser, Storz Tricam, Storz Endoscopes, Storz Headcam, Storz Xenon Cold Light Sources, Xomed Micro Debrider, Xomed Skeeter Drill, Olyumpus Flexible Pharyngolaryngobronchoscope, Ventilating Bronchoscopes with Optical Forceps, Temporal Bone Dissection Laboratory",0,"Behind Durga Malleswara Swamy Temple,  RT, Housing Board Colony, Opposite Mosque, Panjagutta",0
Dr.Shantabai Nursing Home,Private,Private,Telangana,Hyderabad,500001,"Obstetrics, Gynecology, Infertility, Pediatrics, General Surgery, Laparoscopy, Radiology, General Medicine","24-Hour Obstetric Care, 24 Hour General Surgical Care, Intrauterine Insemination, Diagnostic Lab, Well-Equipped OT, In House Pharmacy, Ultrasound","5-8-535, Beside Santosh Sapna Theatre, Abid Road",0
Drishti Eye Centre,Private,Private,Telangana,Hyderabad,500073,"Spectacle and Contact Lens Correction, Cataract Surgery, Glaucoma- Detection and Treatment, Retinal Diseases, ROP Screening, Laser Treatment, Uveitis Treatment, Comprehensive Eye Check Up",0,"Plot Number 114A, Lane Opposite SBI Yellareddyguda Branch, Srinagar Colony\n",0
Eesha Multispeciality Hospital,Private,Private,Telangana,Hyderabad,500082,"Interventional Cardiology, Internal Medicine, Interventional Neurology, Medical Oncology, Pathology, Critical Care Medicine, Physiotherapy, Laparoscopic Surgery, Orthopaedic Surgery, Travel Medicine, Clinical Neurophysiology, Anaesthesiology, Bariatric Surgery, Breast Surgery, Public Health and Community Medicine, Cardiothoracic Surgery, Vascular and Interventional Radiology, Hand Surgery, Cardiology, Nephrology, Orthopedics, Ophthalmology, Otorhinolaryngology, Spine Surgery, Emergency Medicine, Vascular Neurology, Diabetology, Infectious Diseases, Colorectal Surgery, Orthopedic Trauma, Gynaecology and Obstetrics, Vascular Surgery, Urology, Pulmonology, Respiratory Medicine, Neuroradiology, Sports Medicine, Pain Medicine, Neurology, Skin Surgery, General Surgery, Geriatrics, Diagnostic Radiology, Health Informatics, Dermatology, Hospital Medicine, Endocrine Surgery, Gastroenterology, Clinical Cardiac Electrophysiology, Endocrinology, Sleep Medicine, Nutrition and Dietetics, Sexual Medicine, Oral and Maxillofacial Surgery, Thoracic Surgery, Angiology, Vascular Medicine",0,"Rajbhavan Road, Adjacent HSBC Bank, Somajiguda",0
Global Eye Hospital,Private,Private,Telangana,Hyderabad,500072,"Primary Eye Care, Lasik Services, Cataract Services, Cornea and Refractive Surgery Services, Glaucoma Services, Retina and Diabetic Retinopathy, Retina and Hypertensive Retinopathy, Contact Lens Services, Pediatric Service",0,"Plot Number 197, Road Number 1, KPHB Colony, Kukatpally",0
Goodwill Kidney and Surgical Centre,Private,Private,Telangana,Hyderabad,500028,"Urology, Nephrology and Other Surgical Procedures",0,"House Number 10-5-13/2/A, Road Number 1, Opposite Khaja Function Hall, Banjara Hills",0
Harsha Hospital,Private,Private,Telangana,Hyderabad,500055,"Plastic Surgery, Cosmetic Surgery, Face Lift Surgery, Bbreast Lift Surgeory, Abdominoplasty Surgery, Cosmetic Reconstructive Surgery, Liposuction, Gynecology Specialist, 24 hours Trauma Care Services, Excelusive Burn Care Unit, Plastic and Cosmetic Surgery Center, Hand Trauma and maxillofacial Trauma Units, Lab Services with Inhouse Pathologist",0,"Plot Number 1-76/1/b/4, Ganga Enclave, Pet Basheerabad, Medchal Road, Secunderabad",0
Himagiri Hospital,Private,Private,Telangana,Hyderabad,500032,"Anaesthesia, Andrology, Cardiology, Cosmetology, Critical Care, Day Care Services, Dermatology, Diabetology, Endocrinology, General Medicine and family Medicine, Medical gastroenterology, Nephrology, Neurology, Nutrition and dietician, Ophthalmology, Pulmonology, Pediatrics and neonatology, Physiotherapy and rehabilitation, Bariatric Surgery, Dental, ENT, Emergency, Trauma and Accident Care, General Surgery, Gynaecology and obstetric, Maxillo facial Surgery, Neuro Surgery, Orthopedics, Plastic Surgery, Psychiatry, Pediatric Surgery, Surgical gastroenterology, Urology",0,"Plot Number 4, 5, 23 and 24, Gachibowli Stadium Main Road",0
Hope Children's Hospital,Private,Private,Telangana,Hyderabad,500463,"Pediatric Super Specialities, Pediatric Surgeries, General Pediatrics, Pediatric Dentistry, Department of Nutrition",0,"5-9-24/81, Lake Hill Road, Basheerbagh",0
Hyderabad Eye Centre,Private,Private,Telangana,Hyderabad,500029,"Phacoemulsification Catract Surgery, LASIK Surgery, Age Related Macular Degenraration, Squint Correction, Glaucoma, Diabetic Retinopathy, Oculoplastic Clinic","Examination Chair, Imported Slit Lamp Bio-Microscope, Keratometer, Ultrasound A-Scan and B-Scan, Pachymetry, Humphery Visual Field Analyser, Corneal Topography, Indirect Ophthalmoscope, Gonioscope and Various Lenses Necessary for Diagnostic and Therapeutic Aspects of Ophthalmology, General Ophthalmology, Surgical Facilities","3-6-217/1, St.Number15, Near Vasavi Public School, Himayathnagar",0
Hyderabad Nursing Home,Private,Private,Telangana,Hyderabad,500063,"Critical Care, Dentistry, ENT, General Medicine, General Surgery, Gynaecology, Laparoscopy Surgery, Medical Oncology, Orthopaedics, Surgical Oncology, Urology","Operation Theatres, CCU and HDU, SICU, Patient Rooms","5-9-29/40, Opposite, GHMC office, Basheerbagh",0
